Risk Category,Company,Standardized Value
1. Competitive behavior/practice,Anthropic,95.25470200645677
1. Competitive behavior/practice,Google DeepMind,78.95562717781007
1. Competitive behavior/practice,Meta AI,33.63219559022869
1. Competitive behavior/practice,OpenAI,229.04728797268763
1. Competitive behavior/practice,x.AI,33.598337055070346
2. ​Compliance and Safety Practices,Anthropic,160.76976669763798
2. ​Compliance and Safety Practices,Google DeepMind,82.20983041814891
2. ​Compliance and Safety Practices,Meta AI,95.9855471606829
2. ​Compliance and Safety Practices,OpenAI,137.69115854917192
2. ​Compliance and Safety Practices,x.AI,23.3436971743583
3. Commitment to emerging standards,Anthropic,273.86520691775576
3. Commitment to emerging standards,Google DeepMind,101.40315531430986
3. Commitment to emerging standards,Meta AI,26.919136661438102
3. Commitment to emerging standards,OpenAI,97.8125011064963
3. Commitment to emerging standards,x.AI,0.0
4. Incidents,Anthropic,6.255792400370714
4. Incidents,Google DeepMind,45.31587890021625
4. Incidents,Meta AI,34.518844609206056
4. Incidents,OpenAI,380.37534754402225
4. Incidents,x.AI,33.53413654618474
