Risk Category,Company,Standardized Value
1. Competitive behavior/practice,Anthropic,95.25470200645677
1. Competitive behavior/practice,Google DeepMind,78.95562717781007
1. Competitive behavior/practice,Meta AI,33.63219559022869
1. Competitive behavior/practice,OpenAI,229.04728797268763
1. Competitive behavior/practice,x.AI,33.598337055070346
2. ​Compliance and Safety Practices,Anthropic,163.9902860384584
2. ​Compliance and Safety Practices,Google DeepMind,100.73067986241243
2. ​Compliance and Safety Practices,Meta AI,70.96852205865663
2. ​Compliance and Safety Practices,OpenAI,117.41800800857436
2. ​Compliance and Safety Practices,x.AI,46.89250403189817
3. Commitment to emerging standards,Anthropic,166.66666666666669
3. Commitment to emerging standards,Google DeepMind,166.66666666666669
3. Commitment to emerging standards,Meta AI,0.0
3. Commitment to emerging standards,OpenAI,166.66666666666669
3. Commitment to emerging standards,x.AI,0.0
4. Incidents,Anthropic,7.819740500463392
4. Incidents,Google DeepMind,56.644848625270306
4. Incidents,Meta AI,43.148555761507566
4. Incidents,OpenAI,350.4691844300278
4. Incidents,x.AI,41.91767068273093
