Risk Category,Company,Standardized Value
1. Hypercompetitive behavior,Anthropic,46.516381774082525
1. Hypercompetitive behavior,Google DeepMind,19.947805615853966
1. Hypercompetitive behavior,Meta AI,38.11519457971898
1. Hypercompetitive behavior,OpenAI,62.305318749869
1. Hypercompetitive behavior,x.AI,26.666666666666664
2. ​Lack of compliance and safety practices,Anthropic,26.023916292974587
2. ​Lack of compliance and safety practices,Google DeepMind,54.99350069786284
2. ​Lack of compliance and safety practices,Meta AI,69.01718406361796
2. ​Lack of compliance and safety practices,OpenAI,51.424256079282976
2. ​Lack of compliance and safety practices,x.AI,67.4469394858535
3. Lack of commitment to emerging standards,Anthropic,25.0
3. Lack of commitment to emerging standards,Google DeepMind,27.80550445086903
3. Lack of commitment to emerging standards,Meta AI,86.96863822833701
3. Lack of commitment to emerging standards,OpenAI,29.543714504462294
3. Lack of commitment to emerging standards,x.AI,100.0
4. Incidents,Anthropic,1.1111111111111112
4. Incidents,Google DeepMind,17.063492063492063
4. Incidents,Meta AI,16.50793650793651
4. Incidents,OpenAI,100.0
4. Incidents,x.AI,13.015873015873018
