Risk Category,Company,Rank
1. Competitive behavior/practice,Anthropic,4.0
1. Competitive behavior/practice,Google DeepMind,3.0
1. Competitive behavior/practice,Meta AI,2.0
1. Competitive behavior/practice,OpenAI,5.0
1. Competitive behavior/practice,x.AI,1.0
2. ​Compliance and Safety Practices,Anthropic,5.0
2. ​Compliance and Safety Practices,Google DeepMind,2.0
2. ​Compliance and Safety Practices,Meta AI,3.0
2. ​Compliance and Safety Practices,OpenAI,4.0
2. ​Compliance and Safety Practices,x.AI,1.0
3. Commitment to emerging standards,Anthropic,5.0
3. Commitment to emerging standards,Google DeepMind,4.0
3. Commitment to emerging standards,Meta AI,2.0
3. Commitment to emerging standards,OpenAI,3.0
3. Commitment to emerging standards,x.AI,1.0
4. Incidents,Anthropic,1.0
4. Incidents,Google DeepMind,4.0
4. Incidents,Meta AI,3.0
4. Incidents,OpenAI,5.0
4. Incidents,x.AI,2.0
