Risk Category,Company,Standardized Value
1. Competitive behavior/practice,Anthropic,74.92294212550952
1. Competitive behavior/practice,Google DeepMind,80.64591638078167
1. Competitive behavior/practice,Meta AI,83.23635519484563
1. Competitive behavior/practice,OpenAI,198.08459904604632
1. Competitive behavior/practice,x.AI,33.598337055070346
2. ​Compliance and Safety Practices,Anthropic,160.76976669763798
2. ​Compliance and Safety Practices,Google DeepMind,82.20983041814891
2. ​Compliance and Safety Practices,Meta AI,95.9855471606829
2. ​Compliance and Safety Practices,OpenAI,137.69115854917192
2. ​Compliance and Safety Practices,x.AI,23.3436971743583
3. Commitment to emerging standards,Anthropic,166.66666666666669
3. Commitment to emerging standards,Google DeepMind,166.66666666666669
3. Commitment to emerging standards,Meta AI,0.0
3. Commitment to emerging standards,OpenAI,166.66666666666669
3. Commitment to emerging standards,x.AI,0.0
4. Incidents,Anthropic,7.819740500463392
4. Incidents,Google DeepMind,56.644848625270306
4. Incidents,Meta AI,43.148555761507566
4. Incidents,OpenAI,350.4691844300278
4. Incidents,x.AI,41.91767068273093
