Risk Category,Risk ID,Risk Indicator,Company,Value,Standardized Value
1. Hypercompetitive behavior,1.01,Valuation growth (%),Google DeepMind,0.356217063096425,0.0
1. Hypercompetitive behavior,1.02,Market share (revenue),Google DeepMind,0.07,84.18837148118917
1. Hypercompetitive behavior,1.03,Acceleration (yoy change in model updates frequency),Google DeepMind,3.89218329,0.0
1. Hypercompetitive behavior,1.04,"Acquisitions - annual, count",Google DeepMind,0.0,0.0
1. Hypercompetitive behavior,1.05,"Acquisitions - annual, cost",Google DeepMind,0.0,0.0
1. Hypercompetitive behavior,1.06,"Total investments made by the company, amount ($)",Google DeepMind,9500000.0,1.239399869536856
1. Hypercompetitive behavior,1.07,"Investments made by the company, count",Google DeepMind,1.0,20.0
1. Hypercompetitive behavior,1.08,"Revenue growth rate (YoY, %)",Google DeepMind,0.63,12.238805970149254
1. Hypercompetitive behavior,1.09,Anti-competition: News based index,Google DeepMind,134.6582575457273,61.86367322181039
2. ​Lack of compliance and safety practices,2.01,"""Safety"" head-count as a share of total staff",Google DeepMind,0.0027910685805422647,100.0
2. ​Lack of compliance and safety practices,2.02,Number of initiatives related to AI safety annually,Google DeepMind,1.0,88.88888888888889
2. ​Lack of compliance and safety practices,2.03,Publication of safety-related research findings annually,Google DeepMind,9.0,0.0
2. ​Lack of compliance and safety practices,2.04,Involved in military-related industries,Google DeepMind,1.0,100.0
2. ​Lack of compliance and safety practices,2.05,Risk Assessment,Google DeepMind,2.1,21.348314606741567
2. ​Lack of compliance and safety practices,2.06,Current Safety Levels,Google DeepMind,2.5,18.032786885245926
2. ​Lack of compliance and safety practices,2.07,Quality of Responsible Scaling Policy (RSP),Google DeepMind,0.8,65.9090909090909
2. ​Lack of compliance and safety practices,2.08,Governance & Accountability,Google DeepMind,1.68,40.000000000000014
2. ​Lack of compliance and safety practices,2.09,Transparency & Communications,Google DeepMind,1.13,49.327354260089685
2. ​Lack of compliance and safety practices,2.1,Existential Safety Strategy,Google DeepMind,1.1,66.42857142857143
3. Lack of commitment to emerging standards,3.01,Effective implementation of agreement in place with AISI,Google DeepMind,1.0,0.0
3. Lack of commitment to emerging standards,3.02,Endorsement of G7 Hiroshima Code of Conduct,Google DeepMind,1.0,0.0
3. Lack of commitment to emerging standards,3.03,Endorsement of UN Global Digital Compact,Google DeepMind,0.0,100.0
3. Lack of commitment to emerging standards,3.04,Effective implementation of Frontier AI Safety Commitments*,Google DeepMind,80.29222837209302,11.22201780347612
4. Incidents,4.01,AI-related incidents,Google DeepMind,15.0,46.42857142857143
4. Incidents,4.02,Cybersecurity incidents (related to security/safety),Google DeepMind,0.0,0.0
4. Incidents,4.03,Litigation Frequency as Defendant,Google DeepMind,6.0,33.33333333333333
4. Incidents,4.04,Common Vulnerabilities and Exposures (CVE),Google DeepMind,1.0,5.555555555555555
4. Incidents,4.05,Outsourcing incidents*,Google DeepMind,0.0,0.0
1. Hypercompetitive behavior,1.01,Valuation growth (%),Anthropic,14.0,99.99999999999999
1. Hypercompetitive behavior,1.02,Market share (revenue),Anthropic,0.02,97.34280452512496
1. Hypercompetitive behavior,1.03,Acceleration (yoy change in model updates frequency),Anthropic,-0.43915344,100.0
1. Hypercompetitive behavior,1.04,"Acquisitions - annual, count",Anthropic,0.0,0.0
1. Hypercompetitive behavior,1.05,"Acquisitions - annual, cost",Anthropic,0.0,0.0
